iter	Passed	Remaining
1093	55675	198782
1094	55723	198720
1095	55778	198685
1096	55826	198624
1097	55873	198559
1098	55923	198507
1099	55977	198465
1100	56036	198443
1101	56088	198396
1102	56126	198301
1103	56183	198271
1104	56236	198228
1105	56287	198175
1106	56335	198115
1107	56389	198075
1108	56437	198014
1109	56486	197957
1110	56536	197904
1111	56585	197846
1112	56621	197742
1113	56666	197672
1114	56720	197633
1115	56790	197647
1116	56838	197587
1117	56875	197485
1118	56925	197432
1119	56974	197375
1120	57015	197291
1121	57052	197193
1122	57098	197125
1123	57148	197071
1124	57187	196978
1125	57238	196927
1126	57293	196893
1127	57347	196853
1128	57400	196807
1129	57452	196763
1130	57501	196706
1131	57550	196648
1132	57598	196588
1133	57646	196525
1134	57701	196490
1135	57751	196436
1136	57820	196446
1137	57868	196387
1138	57921	196342
1139	57971	196290
1140	58009	196193
1141	58054	196124
1142	58097	196047
1143	58156	196023
1144	58207	195973
1145	58261	195931
1146	58309	195874
1147	58365	195838
1148	58432	195841
1149	58480	195782
1150	58528	195721
1151	58584	195688
1152	58632	195629
1153	58680	195567
1154	58717	195471
1155	58769	195425
1156	58818	195366
1157	58865	195303
1158	58920	195265
1159	58965	195195
1160	59015	195142
1161	59066	195091
1162	59114	195032
1163	59163	194975
1164	59211	194914
1165	59260	194858
1166	59311	194808
1167	59361	194753
1168	59424	194743
1169	59479	194705
1170	59535	194672
1171	59586	194622
1172	59634	194560
1173	59676	194482
1174	59731	194444
1175	59781	194393
1176	59831	194339
1177	59875	194264
1178	59928	194221
1179	59984	194185
1180	60040	194153
1181	60093	194110
1182	60145	194060
1183	60191	193996
1184	60238	193932
1185	60289	193882
1186	60337	193820
1187	60386	193764
1188	60434	193705
1189	60483	193650
1190	60532	193591
1191	60584	193546
1192	60637	193500
1193	60687	193448
1194	60732	193377
1195	60780	193318
1196	60828	193258
1197	60875	193196
1198	60931	193162
1199	60981	193107
1200	61034	193062
1201	61080	192999
1202	61129	192941
1203	61178	192884
1204	61226	192826
1205	61279	192780
1206	61327	192722
1207	61378	192670
1208	61430	192623
1209	61480	192571
1210	61533	192527
1211	61572	192440
1212	61621	192382
1213	61671	192330
1214	61722	192281
1215	61776	192240
1216	61825	192181
1217	61873	192121
1218	61925	192076
1219	61974	192020
1220	62022	191960
1221	62068	191892
1222	62115	191831
1223	62164	191774
1224	62211	191712
1225	62262	191662
1226	62315	191618
