iter	Accuracy	Logloss
1802	0.8307169742	0.3806714676
1803	0.8307169742	0.3806712883
1804	0.8307169742	0.3806707205
1805	0.8306863735	0.3806703321
1806	0.8306863735	0.3806703022
1807	0.8306863735	0.3806527904
1808	0.8306863735	0.3806527307
1809	0.8306863735	0.3806525813
1810	0.8307169742	0.3806400003
1811	0.8307475749	0.3806375499
1812	0.8307475749	0.3806360856
1813	0.8307475749	0.3806359063
1814	0.8307475749	0.3806358166
1815	0.8307781756	0.3806306468
1816	0.8308087763	0.380619052
1817	0.8308087763	0.3806188428
1818	0.8308087763	0.3806186635
1819	0.8308087763	0.380618544
1820	0.8308087763	0.3806184244
1821	0.8308087763	0.3806173486
1822	0.8308087763	0.3806172889
1823	0.8308087763	0.3806170797
1824	0.8308087763	0.3806169303
1825	0.8308087763	0.3806167808
1826	0.8308087763	0.3806167808
1827	0.8308087763	0.3806164222
1828	0.8308087763	0.3806163924
1829	0.8308087763	0.3806160039
1830	0.8308087763	0.380615974
1831	0.830839377	0.3806040505
1832	0.830839377	0.3806039907
1833	0.830839377	0.3806035126
1834	0.830839377	0.380603393
1835	0.830839377	0.380603393
1836	0.8308699777	0.3805932625
1837	0.8308699777	0.3805932625
1838	0.8307781756	0.3805422215
1839	0.8308087763	0.3805255167
1840	0.8308087763	0.3805252178
1841	0.8308087763	0.380525188
1842	0.8308087763	0.3805127564
1843	0.8308087763	0.3805127564
1844	0.8309005784	0.3804885508
1845	0.8309005784	0.3804881025
1846	0.8309617797	0.3804673036
1847	0.830931179	0.3804600718
1848	0.830931179	0.3804598925
1849	0.830931179	0.3804596833
1850	0.830931179	0.3804595339
1851	0.830931179	0.3804594742
1852	0.830931179	0.3804580995
1853	0.830931179	0.3804434267
1854	0.8309923804	0.3804296803
1855	0.8308699777	0.3803975855
1856	0.8308699777	0.3803972269
1857	0.830931179	0.3803858413
1858	0.830931179	0.380385662
1859	0.830931179	0.3803693157
1860	0.830931179	0.3803693157
1861	0.830931179	0.380369226
1862	0.8309617797	0.3803690467
1863	0.8309617797	0.3803689571
1864	0.8309617797	0.380368718
1865	0.8309617797	0.3803645642
1866	0.8309617797	0.3803641757
1867	0.8309617797	0.3803642056
1868	0.8310229811	0.3803545532
1869	0.8310229811	0.3803544038
1870	0.8310229811	0.3803541349
1871	0.8310229811	0.3803541349
1872	0.8310229811	0.3803509672
1873	0.8310229811	0.3803507879
1874	0.8310229811	0.3803489053
1875	0.8310229811	0.3803480984
1876	0.8310229811	0.380344602
1877	0.8310535818	0.3803241916
1878	0.8309617797	0.3802952046
1879	0.8309617797	0.3802952345
1880	0.8309923804	0.3802887498
1881	0.8309923804	0.3802884211
1882	0.8309923804	0.3802880027
1883	0.8309923804	0.3802880326
1884	0.8309617797	0.380275362
1885	0.8309617797	0.3802753321
1886	0.8309617797	0.3802754218
1887	0.8309923804	0.3802659786
1888	0.8310229811	0.3802623029
1889	0.8309923804	0.3802540252
1890	0.8310841825	0.3802473612
1891	0.8311147832	0.3802343917
1892	0.8311147832	0.3802091402
1893	0.831237186	0.3801806612
1894	0.8311759846	0.3801477595
1895	0.8311147832	0.380108134
1896	0.8311147832	0.380108134
1897	0.8310229811	0.380071975
1898	0.8310229811	0.3800715566
1899	0.8310229811	0.3800712578
1900	0.8310229811	0.3800708693
1901	0.8311759846	0.3800582286
1902	0.8311759846	0.3800576309
1903	0.8311759846	0.3800576309
1904	0.8311759846	0.3800573918
